Array size;50;100;150;200;250;300
binaryInsertionSort - ../arrays/300-0-5.txt;1857;6444;13055;20908;31654;44195
binaryInsertionSort - ../arrays/300-0-4000.txt;2389;7569;14697;25696;38442;52791
binaryInsertionSort - ../arrays/300-almost-sorted.txt;1038;2359;3806;5342;6862;8507
binaryInsertionSort - ../arrays/300-reversed.txt;3323;11934;25653;44453;68253;97188
bubbleSort - ../arrays/300-0-5.txt;6348;26361;59257;103872;162750;234244
bubbleSort - ../arrays/300-0-4000.txt;7146;28053;61729;111072;172968;247210
bubbleSort - ../arrays/300-almost-sorted.txt;5070;20094;45154;80217;125247;180271
bubbleSort - ../arrays/300-reversed.txt;8673;34848;78523;139698;218373;314548
bubbleSortI1 - ../arrays/300-0-5.txt;6270;25551;57039;101310;157528;225734
bubbleSortI1 - ../arrays/300-0-4000.txt;7236;28035;61719;111162;173358;242912
bubbleSortI1 - ../arrays/300-almost-sorted.txt;660;1672;3696;4959;6189;7413
bubbleSortI1 - ../arrays/300-reversed.txt;8771;35046;78821;140096;218871;315146
bubbleSortI2 - ../arrays/300-0-5.txt;609;1238;1858;2463;3086;3690
bubbleSortI2 - ../arrays/300-0-4000.txt;630;1280;1930;2580;3230;3880
bubbleSortI2 - ../arrays/300-almost-sorted.txt;546;1051;1549;2122;2631;3157
bubbleSortI2 - ../arrays/300-reversed.txt;639;1289;1939;2589;3239;3889
insertionSort - ../arrays/300-0-5.txt;1499;6662;14708;24473;38501;55145
insertionSort - ../arrays/300-0-4000.txt;2297;8354;17180;31673;48719;68111
insertionSort - ../arrays/300-almost-sorted.txt;221;395;605;818;998;1172
insertionSort - ../arrays/300-reversed.txt;3824;15149;33974;60299;94124;135449
mergeSort - ../arrays/300-0-5.txt;1577;3657;5917;8317;10717;13337
mergeSort - ../arrays/300-0-4000.txt;1577;3657;5917;8317;10717;13337
mergeSort - ../arrays/300-almost-sorted.txt;1577;3657;5917;8317;10717;13337
mergeSort - ../arrays/300-reversed.txt;1577;3657;5917;8317;10717;13337
pyramideSort - ../arrays/300-0-5.txt;2028;4297;7188;10189;13208;16501
pyramideSort - ../arrays/300-0-4000.txt;2258;5414;8826;12459;16173;20155
pyramideSort - ../arrays/300-almost-sorted.txt;2494;5903;9596;13476;17501;21759
pyramideSort - ../arrays/300-reversed.txt;2001;4835;7902;11150;14639;18288
quickSort - ../arrays/300-0-5.txt;869;1828;3042;4098;5190;6465
quickSort - ../arrays/300-0-4000.txt;1038;2437;3483;5015;6677;8012
quickSort - ../arrays/300-almost-sorted.txt;796;1721;2742;3849;4843;6072
quickSort - ../arrays/300-reversed.txt;733;1661;2573;3713;4413;5711
radixSort - ../arrays/300-0-5.txt;2134;2734;3334;3934;4534;5134
radixSort - ../arrays/300-0-4000.txt;4268;5468;6668;7868;9068;10268
radixSort - ../arrays/300-almost-sorted.txt;4268;5468;6668;7868;9068;10268
radixSort - ../arrays/300-reversed.txt;4268;5468;6668;7868;9068;10268
selectionSort - ../arrays/300-0-5.txt;2660;10325;22992;40639;63308;90994
selectionSort - ../arrays/300-0-4000.txt;2729;10461;23358;41198;64020;91808
selectionSort - ../arrays/300-almost-sorted.txt;2615;10221;22837;40453;63061;90668
selectionSort - ../arrays/300-reversed.txt;3222;12697;28422;50397;78622;113097
shellSortCr - ../arrays/300-0-5.txt;457;927;1249;1689;2204;2874
shellSortCr - ../arrays/300-0-4000.txt;787;2452;3939;5424;7059;8914
shellSortCr - ../arrays/300-almost-sorted.txt;127;167;239;329;379;419
shellSortCr - ../arrays/300-reversed.txt;502;1157;2044;3669;4094;4209
shellSortSh - ../arrays/300-0-5.txt;641;1471;2491;3617;4121;5769
shellSortSh - ../arrays/300-0-4000.txt;848;2386;3442;5822;6857;8451
shellSortSh - ../arrays/300-almost-sorted.txt;482;1096;1921;2582;3218;4395
shellSortSh - ../arrays/300-reversed.txt;731;1798;3097;4280;5801;7224
stableCountingSort - ../arrays/300-0-5.txt;365;715;1065;1415;1765;2115
stableCountingSort - ../arrays/300-0-4000.txt;12323;12673;13023;13373;13723;14073
stableCountingSort - ../arrays/300-almost-sorted.txt;35915;36265;36615;36965;37315;37665
stableCountingSort - ../arrays/300-reversed.txt;12650;13000;13350;13700;14050;14400
