Array size;100;200;300;400;500;600;700;800;900;1000;1100;1200;1300;1400;1500;1600;1700;1800;1900;2000;2100;2200;2300;2400;2500;2600;2700;2800;2900;3000;3100;3200;3300;3400;3500;3600;3700;3800;3900;4000;4100
binaryInsertionSort - ../arrays/4100-0-5.txt;6863;22360;46477;75250;118710;166370;215991;276168;353709;425083;518803;608440;708045;826471;946155;1061589;1193758;1336402;1488477;1641063;1807762;1981126;2158597;2360875;2567085;2791755;3045293;3291457;3513027;3727624;4020644;4304878;4556216;4869899;5168821;5461308;5799168;6093059;6415418;6740001;7057739
binaryInsertionSort - ../arrays/4100-0-4000.txt;7522;25313;54214;89227;136595;200361;274106;355373;443267;551922;665533;776115;908130;1048469;1201178;1368754;1531948;1733802;1912949;2124892;2327077;2540666;2776395;3012456;3251559;3490837;3761647;4031863;4333839;4612513;4934061;5254264;5575714;5918080;6255556;6624395;6991857;7362128;7762304;8163014;8596556
binaryInsertionSort - ../arrays/4100-almost-sorted.txt;2352;5332;8530;11859;15199;18797;22426;26056;29722;33358;37227;41179;45109;49050;52996;56928;60876;64814;68792;72742;76870;81102;85346;89575;93795;98045;102279;106519;110760;114982;119237;123481;127741;131975;136195;140445;144693;148929;153175;157455;161716
binaryInsertionSort - ../arrays/4100-reversed.txt;11934;44453;97188;170088;262988;376155;509355;662555;835755;1028955;1242386;1475886;1729386;2002886;2296386;2609886;2943386;3296886;3670386;4063886;4477545;4911345;5365145;5838945;6332745;6846545;7380345;7934145;8507945;9101745;9715545;10349345;11003145;11676945;12370745;13084545;13818345;14572145;15345945;16139745;16953560
bubbleSort - ../arrays/4100-0-5.txt;26994;106041;237685;416070;656373;942796;1271985;1657062;2108068;2589774;3144873;3733807;4377612;5089680;5843518;6630945;7483398;8391586;9353898;10356945;11421103;12535200;13695390;14932795;16216107;17567037;19001260;20464359;21930495;23426239;25079577;26759727;28430524;30234870;32057016;33909505;35870031;37804572;39821824;41882412;43972719
bubbleSort - ../arrays/4100-0-4000.txt;27996;110529;249367;437148;683304;993949;1359432;1776126;2242630;2780235;3365193;3985540;4678014;5422902;6226255;7091931;7990962;8987974;9990921;11083017;12200440;13374915;14622591;15910720;17243403;18616299;20076448;21575661;23162478;24754396;26450571;28184715;29960743;31808091;33688104;35655166;37660095;39709251;41843233;44018016;46282029
bubbleSort - ../arrays/4100-almost-sorted.txt;20079;80193;180310;320367;500427;720505;980571;1280625;1620724;2000778;2420853;2880949;3381021;3921105;4501201;5121258;5781330;6481387;7221504;8001579;8821696;9681762;10581855;11521912;12501960;13522062;14582122;15682209;16822275;18002317;19222413;20482479;21782569;23122620;24502650;25922725;27382797;28882851;30422920;32003040;33623118
bubbleSort - ../arrays/4100-reversed.txt;34848;139698;314548;559398;874248;1259098;1713948;2238798;2833648;3498498;4233348;5038198;5913048;6857898;7872748;8957598;10112448;11337298;12632148;13996998;15431848;16936698;18511548;20156398;21871248;23656098;25510948;27435798;29430648;31495498;33630348;35835198;38110048;40454898;42869748;45354598;47909448;50534298;53229148;55993998;58828848
bubbleSortI1 - ../arrays/4100-0-5.txt;26584;103779;230723;406068;635535;916854;1232203;1607784;2049666;2518432;3060131;3629949;4254714;4941782;5671880;6446263;7273596;8150888;9083160;10060635;11098065;12182590;13313672;14498613;15757425;17057127;18424542;19823577;21245985;22698981;24290719;25917225;27554006;29263072;31028658;32790207;34690093;36552890;38493014;40514274;42506877
bubbleSortI1 - ../arrays/4100-0-4000.txt;27586;110451;249945;437638;684194;993951;1359210;1771568;2244428;2781873;3365151;3984158;4678876;5419764;6223533;7086289;7987980;8989056;9990939;11084355;12188622;13369093;14620113;15907958;17232025;18606537;20075466;21576163;23157180;24757434;26421661;28187997;29957685;31785369;33687042;35657856;37665513;39710913;41833923;44019174;46287851
bubbleSortI1 - ../arrays/4100-almost-sorted.txt;1657;4935;7452;9909;12369;14847;17313;19767;22266;24720;27195;29691;32163;34647;37143;39600;42072;44529;47046;49521;52038;54504;56997;59454;61902;64404;66864;69351;71817;74259;76755;79221;81711;84162;86592;89067;91539;93993;96462;114958;117836
bubbleSortI1 - ../arrays/4100-reversed.txt;35046;140096;315146;560196;875246;1260296;1715346;2240396;2835446;3500496;4235546;5040596;5915646;6860696;7875746;8960796;10115846;11340896;12635946;14000996;15436046;16941096;18516146;20161196;21876246;23661296;25516346;27441396;29436446;31501496;33636546;35841596;38116646;40461696;42876746;45361796;47916846;50541896;53236946;56001996;58837046
bubbleSortI2 - ../arrays/4100-0-5.txt;1223;2478;3730;4970;6222;7465;8666;9927;11179;12416;13674;14900;16116;17370;18610;19832;21066;22309;23541;24784;26023;27257;28488;29720;30960;32199;33448;34702;35925;37151;38420;39669;40912;42164;43410;44650;45896;47124;48361;49619;50877
bubbleSortI2 - ../arrays/4100-0-4000.txt;1265;2553;3850;5150;6450;7750;9050;10350;11647;12947;14247;15547;16847;18147;19447;20747;22047;23347;24647;25947;27247;28547;29847;31147;32447;33747;35047;36347;37647;38947;40247;41547;42847;44147;45447;46747;48047;49347;50647;51947;53247
bubbleSortI2 - ../arrays/4100-almost-sorted.txt;1039;2104;3208;4253;5227;6301;7387;8427;9505;10548;11585;12677;13731;14764;15825;16763;17974;18942;20093;21147;22223;23260;24336;25381;26402;27474;28482;29606;30640;31651;32765;33816;34874;35916;36936;38005;39062;40100;41154;42230;43282
bubbleSortI2 - ../arrays/4100-reversed.txt;1289;2589;3889;5189;6489;7789;9089;10389;11689;12989;14289;15589;16889;18189;19489;20789;22089;23389;24689;25989;27289;28589;29889;31189;32489;33789;35089;36389;37689;38989;40289;41589;42889;44189;45489;46789;48089;49389;50689;51989;53289
insertionSort - ../arrays/4100-0-5.txt;7295;26642;58586;97271;157874;224597;294086;379463;490769;592775;728174;857408;1001513;1173881;1348019;1515746;1708499;1916987;2139599;2362946;2607404;2861801;3122291;3419996;3723608;4054838;4429361;4792760;5119196;5435240;5868878;6289328;6660425;7125071;7567517;8000306;8501132;8935973;9413525;9894413;10365020
insertionSort - ../arrays/4100-0-4000.txt;8297;31130;70268;118349;184805;275750;381533;498527;625331;783236;948494;1109141;1301915;1507103;1730756;1976732;2216063;2513375;2776622;3089018;3386741;3701516;4049492;4397921;4750904;5104100;5504549;5904062;6351179;6763397;7239872;7714316;8190644;8698292;9198605;9745967;10291196;10840652;11434934;12030017;12674330
insertionSort - ../arrays/4100-almost-sorted.txt;380;794;1211;1568;1928;2306;2672;3026;3425;3779;4154;4550;4922;5306;5702;6059;6431;6788;7205;7580;7997;8363;8756;9113;9461;9863;10223;10610;10976;11318;11714;12080;12470;12821;13151;13526;13898;14252;14621;15041;15419
insertionSort - ../arrays/4100-reversed.txt;15149;60299;135449;240599;375749;540899;736049;961199;1216349;1501499;1816649;2161799;2536949;2942099;3377249;3842399;4337549;4862699;5417849;6002999;6618149;7263299;7938449;8643599;9378749;10143899;10939049;11764199;12619349;13504499;14419649;15364799;16339949;17345099;18380249;19445399;20540549;21665699;22820849;24005999;25221149
mergeSort - ../arrays/4100-0-5.txt;3657;8317;13337;18637;23937;29677;35477;41277;47077;52877;59057;65357;71657;77957;84257;90557;96857;103157;109457;115757;122317;129117;135917;142717;149517;156317;163117;169917;176717;183517;190317;197117;203917;210717;217517;224317;231117;237917;244717;251517;258337
mergeSort - ../arrays/4100-0-4000.txt;3657;8317;13337;18637;23937;29677;35477;41277;47077;52877;59057;65357;71657;77957;84257;90557;96857;103157;109457;115757;122317;129117;135917;142717;149517;156317;163117;169917;176717;183517;190317;197117;203917;210717;217517;224317;231117;237917;244717;251517;258337
