Array size;50;100;150;200;250;300
binaryInsertionSort - ../arrays/300-0-5.txt;1579.30;4937.40;8879.10;14104.10;20804.10;28079.10
binaryInsertionSort - ../arrays/300-0-4000.txt;1708.40;5304.20;10220.80;17000.10;25421.10;34071.00
binaryInsertionSort - ../arrays/300-almost-sorted.txt;866.70;1754.30;2958.40;4279.10;5470.90;6970.90
binaryInsertionSort - ../arrays/300-reversed.txt;1983.40;6220.90;12995.70;21995.80;33220.90;49204.20
bubbleSort - ../arrays/300-0-5.txt;3008.30;11116.80;24070.90;41562.50;63095.70;90387.50
bubbleSort - ../arrays/300-0-4000.txt;3491.80;12795.80;27366.50;47962.40;74791.80;101141.80
bubbleSort - ../arrays/300-almost-sorted.txt;2104.10;7420.70;16462.50;27641.70;44337.60;59883.40
bubbleSort - ../arrays/300-reversed.txt;3162.50;12237.30;26041.70;45666.40;70912.30;102979.10
bubbleSortI1 - ../arrays/300-0-5.txt;2941.60;10479.10;21833.40;39337.50;59045.90;83316.80
bubbleSortI1 - ../arrays/300-0-4000.txt;3279.20;12149.90;25875.00;46395.80;74037.40;100741.60
bubbleSortI1 - ../arrays/300-almost-sorted.txt;287.60;620.90;1350.00;1825.00;2254.10;2645.70
bubbleSortI1 - ../arrays/300-reversed.txt;3120.90;11795.90;26050.00;45975.00;80033.40;102429.10
bubbleSortI2 - ../arrays/300-0-5.txt;220.80;375.00;554.20;712.40;895.90;1083.50
bubbleSortI2 - ../arrays/300-0-4000.txt;216.50;400.10;591.60;758.30;945.90;1075.10
bubbleSortI2 - ../arrays/300-almost-sorted.txt;220.80;325.10;516.70;666.60;804.30;1787.80
bubbleSortI2 - ../arrays/300-reversed.txt;224.80;412.50;575.00;750.00;891.70;1058.60
insertionSort - ../arrays/300-0-5.txt;925.10;3479.30;7258.40;11775.00;17658.30;25424.80
insertionSort - ../arrays/300-0-4000.txt;1299.90;4458.40;8595.80;15312.40;23216.60;32662.40
insertionSort - ../arrays/300-almost-sorted.txt;212.50;345.80;525.00;712.50;895.90;1062.50
insertionSort - ../arrays/300-reversed.txt;2124.90;8962.60;16187.70;27104.00;42741.70;58758.30
mergeSort - ../arrays/300-0-5.txt;5708.30;11775.00;19129.30;23037.20;29729.10;35874.80
mergeSort - ../arrays/300-0-4000.txt;5408.40;10966.80;17737.50;23566.60;31870.90;37187.70
mergeSort - ../arrays/300-almost-sorted.txt;4995.90;10083.40;16070.90;21283.40;27179.10;33475.00
mergeSort - ../arrays/300-reversed.txt;5258.40;10120.80;18487.60;22175.20;29154.10;35379.20
pyramideSort - ../arrays/300-0-5.txt;8154.10;15358.40;23941.50;31054.20;38375.10;47116.50
pyramideSort - ../arrays/300-0-4000.txt;7941.80;16520.90;26100.20;35420.90;44533.40;55666.70
pyramideSort - ../arrays/300-almost-sorted.txt;8495.80;17654.20;25895.90;35141.40;43341.70;54108.40
pyramideSort - ../arrays/300-reversed.txt;7350.10;15112.40;23758.30;32396.10;41704.30;52941.60
quickSort - ../arrays/300-0-5.txt;1083.20;2312.50;3808.20;5274.90;7154.20;8787.50
quickSort - ../arrays/300-0-4000.txt;1150.10;2608.30;4462.40;6129.10;8124.90;10221.00
quickSort - ../arrays/300-almost-sorted.txt;787.50;1350.00;2170.70;2800.00;3508.40;4245.90
quickSort - ../arrays/300-reversed.txt;608.30;1291.80;1791.70;2695.60;3054.20;3970.80
radixSort - ../arrays/300-0-5.txt;1199.90;1466.70;1683.30;1904.30;2154.00;2429.30
radixSort - ../arrays/300-0-4000.txt;2395.90;2900.00;3300.20;3816.80;4291.70;4750.00
radixSort - ../arrays/300-almost-sorted.txt;2366.70;2891.80;3279.20;3770.90;4249.90;4791.90
radixSort - ../arrays/300-reversed.txt;2396.20;2879.20;3224.80;3666.80;4145.90;4670.90
selectionSort - ../arrays/300-0-5.txt;2270.80;7999.70;16925.00;29720.80;44237.40;64925.10
selectionSort - ../arrays/300-0-4000.txt;2466.50;9079.30;19966.70;33491.50;51566.60;69279.10
selectionSort - ../arrays/300-almost-sorted.txt;2100.10;7437.60;16075.00;28187.50;43145.70;61875.10
selectionSort - ../arrays/300-reversed.txt;2612.70;8645.70;18979.10;31341.70;47100.00;66762.50
shellSortCr - ../arrays/300-0-5.txt;1091.60;2349.60;3916.70;5483.40;7337.50;9529.30
shellSortCr - ../arrays/300-0-4000.txt;1666.70;5275.00;8958.30;12425.20;16720.80;21983.60
shellSortCr - ../arrays/300-almost-sorted.txt;600.00;1025.10;1745.90;2487.50;3104.20;3804.40
shellSortCr - ../arrays/300-reversed.txt;1079.10;2170.70;3933.40;6158.30;7004.20;8062.60
shellSortSh - ../arrays/300-0-5.txt;896.00;2162.70;3608.20;5500.00;6425.00;9312.50
shellSortSh - ../arrays/300-0-4000.txt;1154.20;3350.00;5833.30;9883.00;12129.20;16508.40
shellSortSh - ../arrays/300-almost-sorted.txt;704.10;1387.40;2641.60;3421.00;4220.80;5874.90
shellSortSh - ../arrays/300-reversed.txt;991.60;2041.80;3554.20;4720.50;6404.20;7904.20
stableCountingSort - ../arrays/300-0-5.txt;366.60;567.10;783.30;1000.00;1237.60;1445.40
stableCountingSort - ../arrays/300-0-4000.txt;13054.20;12337.20;12533.30;12750.00;12970.90;13183.30
stableCountingSort - ../arrays/300-almost-sorted.txt;37183.40;35508.40;37633.30;37071.10;36812.40;36420.70
stableCountingSort - ../arrays/300-reversed.txt;12466.60;12704.10;12875.00;13062.40;13308.30;13504.00
