Array size;100;200;300;400;500;600;700;800;900;1000;1100;1200;1300;1400;1500;1600;1700;1800;1900;2000;2100;2200;2300;2400;2500;2600;2700;2800;2900;3000;3100;3200;3300;3400;3500;3600;3700;3800;3900;4000;4100
binaryInsertionSort - ../arrays/4100-0-5.txt;4978.80;15166.80;28500.00;44566.40;69208.30;93420.90;120687.40;150320.80;192341.70;218483.40;259570.90;303308.40;354741.70;412591.70;455379.10;511466.60;578158.20;639362.60;709270.80;795245.60;862929.10;921762.30;1010045.80;1090016.60;1188687.60;1284466.70;1426446.10;1582379.10;1650041.90;1694004.20;1822875.20;1941454.10;2050116.80;2181816.70;2308208.30;2446204.00;2590225.00;2713308.30;2844250.20;3002512.70;3126766.50
binaryInsertionSort - ../arrays/4100-0-4000.txt;5316.60;16841.80;34250.10;53704.10;79095.90;112608.30;149429.20;191020.90;233945.80;288395.80;341658.50;395379.30;459029.10;526295.80;597329.30;676108.40;756670.60;844449.80;930854.10;1027862.60;1122583.60;1216779.20;1322570.90;1428462.40;1541337.40;1648958.60;1765637.40;1889975.10;2025778.70;2151350.00;2292250.00;2432666.90;2576079.20;2727083.30;2881479.40;3042233.40;3206266.80;3368883.20;3646087.40;3716108.20;3910729.10
binaryInsertionSort - ../arrays/4100-almost-sorted.txt;1841.70;4120.60;6820.80;9429.30;12166.70;15279.10;18329.10;21204.00;24491.80;27545.80;31016.60;34499.80;37979.20;41520.60;44983.60;48408.30;52329.10;56320.80;59162.60;62891.50;66550.00;71629.00;74483.40;78021.10;82554.00;85808.40;89783.40;93362.50;97587.40;100920.70;105262.40;108008.10;113037.70;117525.10;120387.40;124558.30;128766.80;131841.80;135987.40;139904.40;144562.20
binaryInsertionSort - ../arrays/4100-reversed.txt;5991.70;22674.90;44799.90;76383.30;115887.50;164970.80;222354.20;287770.70;361566.40;445304.30;535129.20;635020.80;743375.00;858158.40;982491.60;1118254.30;1255450.10;1405720.80;1563137.50;1729762.60;1907866.80;2085933.40;2287320.90;2479704.30;2687712.70;2901016.70;3127062.50;3360866.60;3603558.50;3857487.50;4106829.30;4381283.30;4650987.50;4940962.70;5231799.90;5529324.80;5835712.70;6154749.90;6474591.50;6811191.50;7154895.90
bubbleSort - ../arrays/4100-0-5.txt;10937.50;41262.60;87341.60;151512.40;237416.70;343670.90;460212.60;603083.30;770320.70;947045.80;1150487.50;1373066.60;1607987.50;1882275.10;2151795.80;2440479.40;2756462.60;3106504.30;3460999.90;3840250.20;4247791.60;4679129.30;5161074.80;5667337.30;6185562.50;6705545.80;7300654.20;7867337.40;8543108.40;9047674.90;9956495.90;10724137.70;11273158.00;11961758.40;12616774.90;13446812.40;14478604.10;15136941.60;16206191.60;17345166.50;18396245.90
bubbleSort - ../arrays/4100-0-4000.txt;12270.70;45820.70;101250.10;175320.80;272550.00;394141.70;532191.70;691591.60;872191.60;1071900.00;1293341.70;1539100.10;1797054.00;2083866.70;2392391.70;2729037.60;3136591.70;3484033.30;3858129.40;4264171.00;4704987.40;5176862.50;5668187.40;6246420.90;6768666.90;7312949.90;7932033.20;8544129.20;9219895.80;9937912.60;10631266.40;11336100.10;12121046.00;12935749.90;13728066.70;14586795.90;15499420.90;16476029.10;17434333.40;18337449.70;19640250.00
bubbleSort - ../arrays/4100-almost-sorted.txt;6983.10;26387.20;58187.50;102616.70;159166.50;228537.50;309795.90;403529.30;510279.20;633016.60;760599.90;903649.90;1063033.40;1228008.10;1409820.70;1603645.80;1808450.10;2030058.40;2258566.70;2498933.10;2758029.00;3024737.50;3307329.20;3597791.70;3909233.30;4217720.90;4548420.60;4891074.80;5242608.30;5615887.30;5991912.40;6385408.30;6787012.50;7210270.60;7638441.50;8073216.60;8526837.40;8996141.70;9475304.10;9967091.80;10472966.60
bubbleSort - ../arrays/4100-reversed.txt;11729.10;45591.60;101554.10;179816.70;280954.20;402345.90;547875.00;715341.60;903200.10;1115387.50;1349775.20;1604345.80;1881358.20;2182691.80;2504666.70;2846512.60;3218683.30;3602825.10;4115779.10;4599612.50;5090266.50;5435329.20;5875783.30;6392812.60;6938720.70;7496983.50;8088904.10;8703625.00;9324275.10;9991220.90;10658291.50;11356962.70;12086899.70;12825054.20;13579450.10;14368616.70;15179550.20;16022033.10;16877529.20;17745704.10;18637666.60
bubbleSortI1 - ../arrays/4100-0-5.txt;10891.80;40225.00;86512.30;150524.90;234750.10;338212.40;448762.60;588012.40;749783.40;923604.10;1130050.00;1351979.00;1601600.00;1856595.90;2137200.00;2436512.40;2773158.40;3134203.90;3527712.40;3922987.40;4436737.40;4942825.00;5352208.40;5857199.90;6352062.20;7006416.50;7666637.50;8124387.60;8968475.10;9641700.20;10405233.20;11181591.60;12014137.70;12729541.60;13850487.30;14732862.50;15590212.70;16356387.70;17032825.00;18315049.90;19071650.00
